index    U_ins  U_ierr   U_std  U_serr   B_ins  B_ierr   B_std  B_serr   V_ins  V_ierr   V_std  V_serr   I_ins  I_ierr   I_std  I_serr
   571 11.4657  0.0019 14.7824  0.0067 11.9989  0.0048 14.5662  0.0041 11.0586  0.0032 14.1222  0.0032 12.2048  0.0047 13.4697  0.0052
   577 12.2447  0.0033 15.5704  0.0126 12.6247  0.0070 15.1636  0.0064 11.3701  0.0033 14.4275  0.0039 12.2144  0.0041 13.4594  0.0052
   593 11.1806  0.0019 14.4887  0.0051 11.6911  0.0033 14.2745  0.0032 10.9141  0.0021 13.9472  0.0028 12.2306  0.0031 13.4720  0.0052
   604 11.3318  0.0022 14.6578  0.0059 12.0589  0.0026 14.6464  0.0042 11.1373  0.0065 14.1510  0.0033 12.2474  0.0053 13.4910  0.0053
   607 12.1235  0.0026 15.4542  0.0117 12.6766  0.0039 15.2098  0.0067 11.4116  0.0021 14.4533  0.0040 12.2550  0.0037 13.4971  0.0053
   614 11.8506  0.0025 15.1651  0.0088 12.2767  0.0034 14.8543  0.0049 11.2483  0.0024 14.2781  0.0035 12.2625  0.0035 13.5020  0.0052
   629 11.6008  0.0035 14.8763  0.0073 12.3248  0.0043 14.8821  0.0052 11.2568  0.0026 14.2923  0.0037 12.2844  0.0036 13.5108  0.0056
   637 12.0807  0.0024 15.4256  0.0109 12.6426  0.0034 15.1708  0.0064 11.4211  0.0020 14.4594  0.0040 12.2961  0.0030 13.5489  0.0055
   641 12.0629  0.0026 15.3880  0.0106 12.6668  0.0041 15.2203  0.0066 11.4404  0.0024 14.4774  0.0040 12.3021  0.0036 13.5381  0.0054
   647 12.2801  0.0039 15.6010  0.0132 12.6621  0.0041 15.2045  0.0069 11.3612  0.0066 14.4372  0.0040 12.2199  0.0099 13.5697  0.0058
   661 12.0108  0.0031 15.3033  0.0099 12.5865  0.0047 15.1115  0.0060 11.4129  0.0022 14.4569  0.0040 12.3361  0.0036 13.5780  0.0055
   662 12.1243  0.0029 15.4377  0.0110 12.6835  0.0043 15.2326  0.0067 11.4622  0.0023 14.5007  0.0041 12.3372  0.0039 13.5806  0.0057
   663 12.2915  0.0033 15.5737  0.0123 12.7433  0.0097 15.2788  0.0070 11.5386  0.0065 14.4864  0.0040 12.3394  0.0126 13.5860  0.0055
   678 11.8847  0.0023 15.2118  0.0094 12.5454  0.0046 15.0930  0.0059 11.3981  0.0028 14.4255  0.0039 12.3545  0.0029 13.5980  0.0056
   686 11.9487  0.0026 15.2262  0.0092 12.5399  0.0036 15.0972  0.0061 11.3970  0.0022 14.4377  0.0039 12.3657  0.0034 13.6015  0.0057
   692 11.7301  0.0021 15.0375  0.0080 12.4508  0.0042 15.0170  0.0056 11.3929  0.0026 14.4220  0.0040 12.3788  0.0044 13.6201  0.0062
   700 11.6996  0.0028 15.0242  0.0077 12.0888  0.0028 14.6788  0.0043 11.1782  0.0022 14.2121  0.0034 12.3914  0.0067 13.6592  0.0061
   709 11.8287  0.0024 15.1249  0.0086 12.4653  0.0033 14.9977  0.0056 11.4050  0.0036 14.4188  0.0040 12.3989  0.0047 13.6249  0.0062
   712 12.3759  0.0029 15.6865  0.0144 12.8860  0.0041 15.4239  0.0079 11.6004  0.0029 14.6393  0.0046 12.4053  0.0042 13.6458  0.0059
   720 11.9134  0.0023 15.2266  0.0093 12.5412  0.0035 15.1136  0.0061 11.4424  0.0027 14.4806  0.0040 12.4171  0.0035 13.6822  0.0060
   722 12.4169  0.0029 15.7424  0.0139 12.9337  0.0037 15.4708  0.0081 11.6244  0.0033 14.6567  0.0046 12.4188  0.0042 13.6394  0.0059
   724 12.0915  0.0054 15.3973  0.0107 12.6865  0.0088 15.2060  0.0065 11.5049  0.0040 14.5588  0.0043 12.4218  0.0051 13.6401  0.0059
   731 12.0822  0.0031 15.3583  0.0102 12.7016  0.0038 15.2203  0.0065 11.5461  0.0051 14.5971  0.0044 12.4337  0.0053 13.6697  0.0058
   740 11.5528  0.0019 14.8710  0.0068 12.0379  0.0026 14.6106  0.0040 11.1859  0.0021 14.2242  0.0034 12.4515  0.0105 13.6649  0.0059
   742 12.4629  0.0030 15.7817  0.0145 12.9277  0.0044 15.4540  0.0080 11.6489  0.0024 14.6837  0.0047 12.4477  0.0036 13.6810  0.0060
   783 12.2134  0.0032 15.5373  0.0120 12.8141  0.0040 15.3254  0.0071 11.6368  0.0035 14.6591  0.0046 12.5061  0.0038 13.7319  0.0062
   784 12.3269  0.0029 99.9999 99.9999 12.8650  0.0038 15.4164  0.0076 11.6370  0.0022 14.6745  0.0047 12.5071  0.0039 13.7542  0.0064
   786 12.0808  0.0024 15.2255  0.0095 12.6997  0.0042 15.2404  0.0068 11.5373  0.0030 14.5781  0.0044 12.5107  0.0039 13.7490  0.0064
